Compound_ID,Scaffold,Sub_1,Sub_2,SMILES,MW,LogP,HBD,HBA,TPSA,RotB
GF_Piperazine_1-F_2-F,GF_Piperazine,F,F,COc1cc2ncnc(Nc3ccc(F)c(F)c3)c2cc1OCCCN1CCNCC1,429.47,3.33,2,7,71.54,9
GF_Piperazine_1-F_2-H,GF_Piperazine,F,H,COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OCCCN1CCNCC1,411.48,3.2,2,7,71.54,9
GF_Piperazine_1-F_2-Cl,GF_Piperazine,F,Cl,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCNCC1,445.93,3.85,2,7,71.54,9
GF_Piperazine_1-F_2-Br,GF_Piperazine,F,Br,COc1cc2ncnc(Nc3ccc(F)c(Br)c3)c2cc1OCCCN1CCNCC1,490.38,3.96,2,7,71.54,9
GF_Piperazine_1-F_2-OH,GF_Piperazine,F,OH,COc1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OCCCN1CCNCC1,427.48,2.9,3,8,91.77,10
GF_Piperazine_1-H_2-F,GF_Piperazine,H,F,COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCCCN1CCNCC1,411.48,3.2,2,7,71.54,9
GF_Piperazine_1-H_2-H,GF_Piperazine,H,H,COc1cc2ncnc(Nc3ccccc3)c2cc1OCCCN1CCNCC1,393.49,3.06,2,7,71.54,9
GF_Piperazine_1-H_2-Cl,GF_Piperazine,H,Cl,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCN1CCNCC1,427.94,3.71,2,7,71.54,9
GF_Piperazine_1-H_2-Br,GF_Piperazine,H,Br,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCN1CCNCC1,472.39,3.82,2,7,71.54,9
GF_Piperazine_1-H_2-OH,GF_Piperazine,H,OH,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OCCCN1CCNCC1,409.49,2.76,3,8,91.77,10
GF_Piperazine_1-Cl_2-F,GF_Piperazine,Cl,F,COc1cc2ncnc(Nc3ccc(Cl)c(F)c3)c2cc1OCCCN1CCNCC1,445.93,3.85,2,7,71.54,9
GF_Piperazine_1-Cl_2-H,GF_Piperazine,Cl,H,COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OCCCN1CCNCC1,427.94,3.71,2,7,71.54,9
GF_Piperazine_1-Cl_2-Cl,GF_Piperazine,Cl,Cl,COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2cc1OCCCN1CCNCC1,462.38,4.36,2,7,71.54,9
GF_Piperazine_1-Cl_2-OH,GF_Piperazine,Cl,OH,COc1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OCCCN1CCNCC1,443.93,3.42,3,8,91.77,10
GF_Piperazine_1-Br_2-F,GF_Piperazine,Br,F,COc1cc2ncnc(Nc3ccc(Br)c(F)c3)c2cc1OCCCN1CCNCC1,490.38,3.96,2,7,71.54,9
GF_Piperazine_1-Br_2-H,GF_Piperazine,Br,H,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OCCCN1CCNCC1,472.39,3.82,2,7,71.54,9
GF_Piperazine_1-Br_2-OH,GF_Piperazine,Br,OH,COc1cc2ncnc(Nc3ccc(Br)c(O)c3)c2cc1OCCCN1CCNCC1,488.39,3.52,3,8,91.77,10
GF_Piperazine_1-OH_2-F,GF_Piperazine,OH,F,COc1cc2ncnc(Nc3ccc(O)c(F)c3)c2cc1OCCCN1CCNCC1,427.48,2.9,3,8,91.77,10
GF_Piperazine_1-OH_2-H,GF_Piperazine,OH,H,COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OCCCN1CCNCC1,409.49,2.76,3,8,91.77,10
GF_Piperazine_1-OH_2-Cl,GF_Piperazine,OH,Cl,COc1cc2ncnc(Nc3ccc(O)c(Cl)c3)c2cc1OCCCN1CCNCC1,443.93,3.42,3,8,91.77,10
GF_Piperazine_1-OH_2-Br,GF_Piperazine,OH,Br,COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OCCCN1CCNCC1,488.39,3.52,3,8,91.77,10
GF_Piperazine_1-OH_2-OH,GF_Piperazine,OH,OH,COc1cc2ncnc(Nc3ccc(O)c(O)c3)c2cc1OCCCN1CCNCC1,425.49,2.47,4,9,112.0,11
GF_N-Methylpiperazine_1-F_2-F,GF_N-Methylpiperazine,F,F,COc1cc2ncnc(Nc3ccc(F)c(F)c3)c2cc1OCCCN1CCN(C)CC1,443.5,3.68,1,7,62.75,10
GF_N-Methylpiperazine_1-F_2-H,GF_N-Methylpiperazine,F,H,COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OCCCN1CCN(C)CC1,425.51,3.54,1,7,62.75,10
GF_N-Methylpiperazine_1-F_2-Cl,GF_N-Methylpiperazine,F,Cl,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCN(C)CC1,459.95,4.19,1,7,62.75,10
GF_N-Methylpiperazine_1-F_2-OH,GF_N-Methylpiperazine,F,OH,COc1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OCCCN1CCN(C)CC1,441.51,3.24,2,8,82.98,11
GF_N-Methylpiperazine_1-H_2-F,GF_N-Methylpiperazine,H,F,COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCCCN1CCN(C)CC1,425.51,3.54,1,7,62.75,10
GF_N-Methylpiperazine_1-H_2-H,GF_N-Methylpiperazine,H,H,COc1cc2ncnc(Nc3ccccc3)c2cc1OCCCN1CCN(C)CC1,407.52,3.4,1,7,62.75,10
GF_N-Methylpiperazine_1-H_2-Cl,GF_N-Methylpiperazine,H,Cl,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCN1CCN(C)CC1,441.96,4.05,1,7,62.75,10
GF_N-Methylpiperazine_1-H_2-Br,GF_N-Methylpiperazine,H,Br,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCN1CCN(C)CC1,486.41,4.16,1,7,62.75,10
GF_N-Methylpiperazine_1-H_2-OH,GF_N-Methylpiperazine,H,OH,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OCCCN1CCN(C)CC1,423.52,3.1,2,8,82.98,11
GF_N-Methylpiperazine_1-Cl_2-F,GF_N-Methylpiperazine,Cl,F,COc1cc2ncnc(Nc3ccc(Cl)c(F)c3)c2cc1OCCCN1CCN(C)CC1,459.95,4.19,1,7,62.75,10
GF_N-Methylpiperazine_1-Cl_2-H,GF_N-Methylpiperazine,Cl,H,COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OCCCN1CCN(C)CC1,441.96,4.05,1,7,62.75,10
GF_N-Methylpiperazine_1-Cl_2-Cl,GF_N-Methylpiperazine,Cl,Cl,COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2cc1OCCCN1CCN(C)CC1,476.41,4.71,1,7,62.75,10
GF_N-Methylpiperazine_1-Cl_2-OH,GF_N-Methylpiperazine,Cl,OH,COc1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OCCCN1CCN(C)CC1,457.96,3.76,2,8,82.98,11
GF_N-Methylpiperazine_1-Br_2-H,GF_N-Methylpiperazine,Br,H,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OCCCN1CCN(C)CC1,486.41,4.16,1,7,62.75,10
GF_N-Methylpiperazine_1-OH_2-F,GF_N-Methylpiperazine,OH,F,COc1cc2ncnc(Nc3ccc(O)c(F)c3)c2cc1OCCCN1CCN(C)CC1,441.51,3.24,2,8,82.98,11
GF_N-Methylpiperazine_1-OH_2-H,GF_N-Methylpiperazine,OH,H,COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OCCCN1CCN(C)CC1,423.52,3.1,2,8,82.98,11
GF_N-Methylpiperazine_1-OH_2-Cl,GF_N-Methylpiperazine,OH,Cl,COc1cc2ncnc(Nc3ccc(O)c(Cl)c3)c2cc1OCCCN1CCN(C)CC1,457.96,3.76,2,8,82.98,11
GF_N-Methylpiperazine_1-OH_2-OH,GF_N-Methylpiperazine,OH,OH,COc1cc2ncnc(Nc3ccc(O)c(O)c3)c2cc1OCCCN1CCN(C)CC1,439.52,2.81,3,9,103.21,12
GF_Morpholine_1-F_2-F,GF_Morpholine,F,F,COc1cc2ncnc(Nc3ccc(F)c(F)c3)c2cc1OCCCN1CCOCC1,430.45,3.76,1,7,68.74,9
GF_Morpholine_1-F_2-H,GF_Morpholine,F,H,COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OCCCN1CCOCC1,412.46,3.62,1,7,68.74,9
GF_Morpholine_1-F_2-Cl,GF_Morpholine,F,Cl,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.91,4.28,1,7,68.74,9
GF_Morpholine_1-F_2-Br,GF_Morpholine,F,Br,COc1cc2ncnc(Nc3ccc(F)c(Br)c3)c2cc1OCCCN1CCOCC1,491.36,4.38,1,7,68.74,9
GF_Morpholine_1-F_2-OH,GF_Morpholine,F,OH,COc1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OCCCN1CCOCC1,428.46,3.33,2,8,88.97,10
GF_Morpholine_1-H_2-F,GF_Morpholine,H,F,COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCCCN1CCOCC1,412.46,3.62,1,7,68.74,9
GF_Morpholine_1-H_2-H,GF_Morpholine,H,H,COc1cc2ncnc(Nc3ccccc3)c2cc1OCCCN1CCOCC1,394.47,3.48,1,7,68.74,9
GF_Morpholine_1-H_2-Cl,GF_Morpholine,H,Cl,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCN1CCOCC1,428.92,4.14,1,7,68.74,9
GF_Morpholine_1-H_2-Br,GF_Morpholine,H,Br,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCN1CCOCC1,473.37,4.25,1,7,68.74,9
GF_Morpholine_1-H_2-OH,GF_Morpholine,H,OH,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OCCCN1CCOCC1,410.47,3.19,2,8,88.97,10
GF_Morpholine_1-Cl_2-F,GF_Morpholine,Cl,F,COc1cc2ncnc(Nc3ccc(Cl)c(F)c3)c2cc1OCCCN1CCOCC1,446.91,4.28,1,7,68.74,9
GF_Morpholine_1-Cl_2-H,GF_Morpholine,Cl,H,COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OCCCN1CCOCC1,428.92,4.14,1,7,68.74,9
GF_Morpholine_1-Cl_2-Cl,GF_Morpholine,Cl,Cl,COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2cc1OCCCN1CCOCC1,463.36,4.79,1,7,68.74,9
GF_Morpholine_1-Cl_2-OH,GF_Morpholine,Cl,OH,COc1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OCCCN1CCOCC1,444.92,3.84,2,8,88.97,10
GF_Morpholine_1-Br_2-F,GF_Morpholine,Br,F,COc1cc2ncnc(Nc3ccc(Br)c(F)c3)c2cc1OCCCN1CCOCC1,491.36,4.38,1,7,68.74,9
GF_Morpholine_1-Br_2-H,GF_Morpholine,Br,H,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OCCCN1CCOCC1,473.37,4.25,1,7,68.74,9
GF_Morpholine_1-Br_2-OH,GF_Morpholine,Br,OH,COc1cc2ncnc(Nc3ccc(Br)c(O)c3)c2cc1OCCCN1CCOCC1,489.37,3.95,2,8,88.97,10
GF_Morpholine_1-OH_2-F,GF_Morpholine,OH,F,COc1cc2ncnc(Nc3ccc(O)c(F)c3)c2cc1OCCCN1CCOCC1,428.46,3.33,2,8,88.97,10
GF_Morpholine_1-OH_2-H,GF_Morpholine,OH,H,COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OCCCN1CCOCC1,410.47,3.19,2,8,88.97,10
GF_Morpholine_1-OH_2-Cl,GF_Morpholine,OH,Cl,COc1cc2ncnc(Nc3ccc(O)c(Cl)c3)c2cc1OCCCN1CCOCC1,444.92,3.84,2,8,88.97,10
GF_Morpholine_1-OH_2-Br,GF_Morpholine,OH,Br,COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OCCCN1CCOCC1,489.37,3.95,2,8,88.97,10
GF_Morpholine_1-OH_2-OH,GF_Morpholine,OH,OH,COc1cc2ncnc(Nc3ccc(O)c(O)c3)c2cc1OCCCN1CCOCC1,426.47,2.89,3,9,109.2,11
